"","ec5_uuid","created_at","Test","Hexagon","Plot","Species","Other_spp","Live_status","DBH","X28_Age_Taken","Code","Height.x","Cruise_tree_class","Crown_class","Conk","Blind_conk","Fork_crook","Scar","Frost_damage","Mistletoe","Rotten_bark","Dead_broken_top","Insect_damage","Fire_damage","Down_tree","Comments","Species1.x","Plot.id","Date","Species1.y","Distance","Bearing","Height.y","Age.ca","Technique","Additional.Comments"
"558","2d26017b-fa75-4dda-b4e4-26794f7e07c1","2021-05-27T21:07:29.687Z","No, 11.28m Plot - Core Tree collection","3","1","Sx: spruce hybrid",NA,"Standing (Live)",21.7,NA,NA,NA,"8: Younger immature","3 (50-75% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sx","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"559","394c9300-bfa9-40d4-af3d-624ca57cbb47","2021-05-27T21:06:45.791Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",19.1,NA,NA,NA,"8: Younger immature","4 (75-100% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"560","63d9cff5-2399-4a6f-82d4-dcc5621860d6","2021-05-27T21:06:30.985Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Snag (Dead) (45-90%) ",9.8,NA,NA,NA,"4: Dead useless","1 (0-25% healthy)",NA,NA,NA,NA,NA,NA,NA,"7: Present in all 3rds ",NA,NA,NA,"Broken midway bottom 1/3","Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"561","d052f0ed-1c6e-415c-85e4-666e4790b26f","2021-05-27T21:04:33.314Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",9,NA,NA,NA,"8: Younger immature","1 (0-25% healthy)",NA,NA,NA,"1: Bottom 1/3 only",NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"562","48e819e0-6ad6-4035-b63d-705d2a4bde04","2021-05-27T21:03:51.088Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",14.6,NA,NA,NA,"8: Younger immature","3 (50-75% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"563","68908b94-601a-494c-9f33-fd5348c18818","2021-05-27T21:03:18.399Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Snag (Dead) (45-90%) ",10.2,NA,NA,NA,"9: Younger immature - Dead potential","1 (0-25% healthy)","7: Present in all 3rds ",NA,NA,NA,NA,NA,NA,"1: Bottom 1/3 only",NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"564","f89ef078-59de-4ad4-b3e5-0f45e3418e21","2021-05-27T21:02:44.672Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Snag (Dead) (45-90%) ",8.8,NA,NA,NA,"4: Dead useless","1 (0-25% healthy)",NA,NA,NA,NA,"4: Bottom and middle",NA,NA,"5: Top and middle",NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"565","440daa78-ab3a-4210-bd9f-3d30c5bd82b5","2021-05-27T21:01:17.329Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",21.2,NA,NA,NA,"8: Younger immature","4 (75-100% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"566","b3005565-7c53-4d65-8265-3abf391b1258","2021-05-27T21:00:34.472Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",13.8,NA,NA,NA,"8: Younger immature","2 (25-50% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"567","e0a9db31-4d5f-4939-bd42-ee513e63019c","2021-05-27T21:00:05.760Z","No, 11.28m Plot - Core Tree collection","3","1","Sx: spruce hybrid",NA,"Standing (Live)",16.5,NA,NA,NA,"8: Younger immature","3 (50-75% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peeling bark in scales with pitching along bole.","Sx","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"568","22ffa37c-8d49-48f6-bd3a-ebfb4401b57c","2021-05-27T20:54:47.898Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",13.9,NA,NA,NA,"8: Younger immature","4 (75-100% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"569","eb8b0ec5-f28d-435c-9c0b-4a1dbbd2e3ad","2021-05-27T20:53:23.414Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",10.3,NA,NA,NA,"8: Younger immature","1 (0-25% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"570","31c1b539-97ce-4009-8049-9ce7bedaca15","2021-05-27T20:53:16.983Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",13.5,NA,NA,NA,"8: Younger immature","3 (50-75% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"571","a6b98883-a493-413b-b4fd-c93db995c6d3","2021-05-27T20:52:54.721Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",10.3,NA,NA,NA,"8: Younger immature","1 (0-25% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"572","8cce612c-809e-4086-84da-02fd0fd56df5","2021-05-27T20:52:20.232Z","No, 11.28m Plot - Core Tree collection","3","1","Sx: spruce hybrid",NA,"Standing (Live)",8.8,NA,NA,NA,"8: Younger immature","3 (50-75% healthy)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sx","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
"573","f9b53454-1652-483e-8b9c-9bd8d067733a","2021-05-27T20:51:58.861Z","No, 11.28m Plot - Core Tree collection","3","1","Bl: subalpine fir",NA,"Standing (Live)",24,NA,NA,NA,"8: Younger immature","4 (75-100% healthy)",NA,NA,NA,"1: Bottom 1/3 only",NA,NA,NA,NA,NA,NA,NA,NA,"Bl","H3P1",NA,NA,NA,NA,NA,NA,NA,NA
